Date,Open,High,Low,Close
2025-12-18,1.06384,1.06715,1.06141,1.0631
2025-12-19,1.0629,1.06467,1.06264,1.06388
2025-12-22,1.06388,1.06724,1.06365,1.06601
2025-12-23,1.06605,1.06732,1.0628,1.06448
2025-12-24,1.06444,1.06617,1.06264,1.06376
2025-12-25,1.06318,1.06574,1.06305,1.06435
2025-12-26,1.06436,1.06621,1.06315,1.06544
2025-12-29,1.06542,1.06815,1.0631,1.06583
2025-12-30,1.06533,1.06689,1.06426,1.06627
2025-12-31,1.06623,1.06824,1.06424,1.06776
2026-01-02,1.06755,1.0687,1.0655,1.06639
2026-01-05,1.06673,1.0731,1.06501,1.07236
2026-01-06,1.07231,1.07463,1.07155,1.0742
2026-01-07,1.07416,1.07573,1.07281,1.07338
2026-01-08,1.07336,1.07441,1.07106,1.07343
2026-01-09,1.07341,1.07502,1.07207,1.07361
2026-01-12,1.07311,1.07451,1.0704,1.07352
2026-01-13,1.07352,1.07644,1.07335,1.07498
2026-01-14,1.07511,1.07986,1.0736,1.07473
2026-01-15,1.07499,1.07751,1.0729,1.07477
2026-01-16,1.0749,1.07544,1.07299,1.07458
2026-01-19,1.07102,1.07203,1.06863,1.07089
2026-01-20,1.07097,1.07099,1.06085,1.06193
2026-01-21,1.06218,1.06939,1.05889,1.06872
2026-01-22,1.06843,1.06895,1.06248,1.06572
2026-01-23,1.06572,1.07148,1.06521,1.06603
2026-01-26,1.0603,1.06362,1.05948,1.06296
2026-01-27,1.06294,1.06436,1.05218,1.05388
2026-01-28,1.05388,1.06313,1.05388,1.06083
2026-01-29,1.061,1.06102,1.05514,1.05609
2026-01-30,1.05604,1.05855,1.05493,1.05779
2026-02-02,1.05799,1.06624,1.05596,1.06569
2026-02-03,1.06565,1.06586,1.06034,1.06219
2026-02-04,1.06209,1.06563,1.05953,1.06107
2026-02-05,1.06103,1.06105,1.04984,1.05301
2026-02-06,1.05305,1.05788,1.05082,1.05598
2026-02-09,1.05608,1.05675,1.04608,1.05054
2026-02-10,1.05052,1.05052,1.04402,1.04781
2026-02-11,1.04786,1.05546,1.04614,1.05122
2026-02-12,1.05122,1.05169,1.04652,1.04727
2026-02-13,1.04721,1.04974,1.04604,1.04862
2026-02-16,1.04705,1.05108,1.04705,1.04879
2026-02-17,1.0488,1.04906,1.04288,1.04488
2026-02-18,1.04505,1.04775,1.042,1.04324
2026-02-19,1.04317,1.04447,1.04196,1.04407
2026-02-20,1.04405,1.04723,1.04271,1.0456
2026-02-23,1.04471,1.04775,1.04283,1.04514
2026-02-24,1.04522,1.04753,1.04325,1.04446
2026-02-25,1.04439,1.0481,1.04398,1.04723
2026-02-26,1.04723,1.04973,1.04215,1.04314
2026-02-27,1.04317,1.04359,1.03296,1.03615
2026-03-02,1.02975,1.04601,1.02975,1.04448
2026-03-03,1.04451,1.0467,1.04182,1.04465
2026-03-04,1.04451,1.0472,1.04015,1.04183
2026-03-05,1.04189,1.04418,1.03955,1.04321
2026-03-06,1.04307,1.04466,1.03965,1.04047
2026-03-09,1.03883,1.04578,1.03718,1.04413
2026-03-10,1.04411,1.04592,1.04273,1.04453
2026-03-11,1.04455,1.04713,1.04223,1.04586
2026-03-12,1.04586,1.04929,1.04478,1.04893
2026-03-13,1.04889,1.05006,1.04331,1.04624
2026-03-16,1.04602,1.04969,1.04539,1.04919
2026-03-17,1.04919,1.05004,1.04743,1.04859
2026-03-18,1.04861,1.05449,1.04823,1.05133
2026-03-19,1.05134,1.06001,1.04941,1.05903
2026-03-20,1.05903,1.06014,1.04926,1.05127
2026-03-23,1.0489,1.05802,1.04874,1.05627
2026-03-24,1.05627,1.06021,1.05318,1.05736
2026-03-25,1.05736,1.0594,1.05644,1.0577
2026-03-26,1.05771,1.0606,1.05671,1.05964
2026-03-27,1.05964,1.06235,1.05732,1.05946
2026-03-30,1.05989,1.06072,1.05241,1.05379
2026-03-31,1.05377,1.06195,1.05304,1.05739
2026-04-01,1.05694,1.05792,1.0533,1.05678
2026-04-02,1.05664,1.05819,1.05506,1.05595
2026-04-03,1.05608,1.05723,1.05479,1.05693
2026-04-06,1.055,1.05846,1.05499,1.05613
2026-04-07,1.0564,1.06173,1.05599,1.06069
2026-04-08,1.06083,1.06221,1.05706,1.06036
2026-04-09,1.06006,1.06226,1.05859,1.06132
2026-04-10,1.06148,1.06299,1.05846,1.06281
2026-04-13,1.06051,1.06228,1.05757,1.05853
2026-04-14,1.05837,1.06035,1.05595,1.05947
2026-04-15,1.05935,1.06186,1.05782,1.06039
2026-04-16,1.06037,1.06199,1.05835,1.05973
2026-04-17,1.05979,1.06014,1.0558,1.05636
2026-04-20,1.05554,1.05691,1.05266,1.05346
2026-04-21,1.05345,1.0555,1.05243,1.05463
2026-04-22,1.05455,1.05994,1.05375,1.05915
2026-04-23,1.05947,1.06089,1.05771,1.05914
2026-04-24,1.0589,1.06252,1.05845,1.06232
2026-04-27,1.06085,1.06414,1.06085,1.06291
2026-04-28,1.06295,1.06761,1.06272,1.06691
2026-04-29,1.06672,1.06766,1.06491,1.06605
2026-04-30,1.06629,1.06689,1.05867,1.06283
2026-05-01,1.06291,1.0643,1.06089,1.061
2026-05-04,1.06217,1.06243,1.05964,1.06096
2026-05-05,1.06086,1.06197,1.06009,1.06067
2026-05-06,1.06054,1.0624,1.05783,1.05837
2026-05-07,1.05837,1.0599,1.05666,1.05752
2026-05-08,1.05762,1.05971,1.05743,1.0588
2026-05-11,1.05501,1.06132,1.05501,1.0582
2026-05-12,1.05849,1.05958,1.05423,1.05689
2026-05-13,1.05692,1.05848,1.05493,1.05689
2026-05-14,1.0571,1.05769,1.04933,1.0504
2026-05-15,1.05037,1.05078,1.04771,1.04772
2026-05-18,1.04835,1.05572,1.0474,1.05343
2026-05-19,1.05342,1.05876,1.05218,1.05711
